App name,OS
Dice With Buddies™ Free - The Fun Social Dice Game,Android
Yazy the best yatzy dice game,Android
Solitaire,Android
Solitaire – Classic Card Game.,Android
Classic Solitaire,Android
Pyramid Solitaire,Android
Solitaire: Card Games Classic,Android
Solitaire,Android
Solitaire - A Classic Card Game,iOS
Mahjong Solitaire,Android
Aces Up Solitaire ·,Android
Solitaire Classic,Android
Solitaire - Classic Card Game Klondike & Patience,Android
Spider Solitaire,Android
Spider Solitaire: Card Game,iOS
FreeCell Solitaire Card Game,iOS
Mahjong Solitaire: Classic,Android
Solitaire Mania,Android
Solitaire,Android
Solitaire,Android
Solitaire - Free Classic Solitaire Card Games,Android
FreeCell Solitaire,iOS
Solitaire TriPeaks,Android
⋆Spider Solitaire,Android
Money Bingo - Win Rewards & Huge Cash Out!,iPadOS
Cool Match Game: Coinnect™ Earn Real Rewards,Android
S’more - Earn Cash Rewards,Android
Cashzine: Buzz Interact & Get Reward Daily,iPadOS
cashKarma Rewards & Gift Cards,iOS
Tile Master - Classic Triple Match & Puzzle Game,Android
Onet - Connect & Match Puzzle,Android
Tile Master 3D - Classic Match,Android
Find 3D - Match Items,Android
Match 3D,iOS
Party Match,Android
Cube Master 3D - Match 3 & Puzzle Game,iOS
Tile Master 3D - Classic Puzzle & Triple Match,Android
Jewel Fever - Match 3 Games,Android
Jewels Planet - Free Match 3 & Puzzle Game,Android
Onnect – Pair Matching Puzzle,Android
Mahjong Triple 3D - Tile Match Master,iOS
Match 3D - Matching Puzzle Game,iOS
3 Tiles - Puzzle Match Game,Android
Clockmaker - Amazing Match 3,Android
Tile Triple 3D - Match Master,iOS
Clockmaker: Match Three Games,Android
Match Tile 3D,iOS
Jewel Pop Mania:Match 3 Puzzle,Android
Number Match - Logic Puzzle Game,Android
Match Triple 3D: Matching Tile,Android
Match Tile 3D,iOS
Tile Master 3D - Classic Match,Android
Tile Connect Master:Block Match Puzzle Game,iPadOS
Merge Battle Car: Best Idle Clicker Tycoon game,Android
Merge Mania,Android
Merge Muscle Car: Classic American Muscle Merger,iOS
Drop The Number : Merge Puzzle,iOS
X2 Blocks - Merge Puzzle 2048,iOS
Merge Sandwich: Happy Club Sandwich Restaurant,Android
Dice Puzzle - Merge puzzle,Android
Merge Truck: Monster Truck Evolution Merger game,GoogleTV
Merge Battle Car: Best Idle Clicker Tycoon game,Android
Merge Number Puzzle,Android
Merge Muscle Car: Classic American Muscle Merger,iOS
Merge Sandwich: Happy Club Sandwich Restaurant,Android
Merge Mania,Android
Drop The Number : Merge Puzzle,iOS
Merge Dragons!,iOS
Chain Cube: 2048 3D merge game,Android
X2 Blocks - Merge Puzzle 2048,iOS
